StopName,CantonShort,CantonLong
Aarau, AG, Aargau
Aigle, VD, Vaud
Allaman, VD, Vaud
Altdorf UR, UR, Uri
Arth-Goldau, SZ, Schwyz
Baar, ZG, Zug
Baar Lindenpark, ZG, Zug
Baar Neufeld, ZG, Zug
Baden, AG, Aargau
Baldegg, LU, Lucerne
Ballwil, LU, Lucerne
Basel SBB, BS, Basel-Stadt
Bassersdorf, ZH, Zurich
Bern, BE, Bern
Bex, VD, Vaud
Birrwil, AG, Aargau
Brugg AG, AG, Aargau
Brunnen, SZ, Schwyz
Buchrain, LU, Lucerne
Cham, ZG, Zug
Chambésy, GE, Geneva
Chêne-Bourg, GE, Geneva
Coppet, VD, Vaud
Creux-de-Genthod, GE, Geneva
Diesbach-Betschwanden, GL, Glarus
Dietikon, ZH, Zurich
Döttingen, AG, Aargau
Ebikon, LU, Lucerne
Effretikon, ZH, Zurich
Emmenbrücke, LU, Lucerne
Emmenbrücke Gersag, LU, Lucerne
Ennenda, GL, Glarus
Ermensee, LU, Lucerne
Erstfeld, UR, Uri
Eschenbach LU, LU, Lucerne
Felben-Wellhausen, TG, Thurgau
Flüelen, UR, Uri
Frauenfeld, TG, Thurgau
Frick, AG, Aargau
Gelfingen, LU, Lucerne
Genthod-Bellevue, GE, Geneva
Genève, GE, Geneva
Genève-Aéroport, GE, Geneva
Genève-Champel, GE, Geneva
Genève-Eaux-Vives, GE, Geneva
Genève-Sécheron, GE, Geneva
Gisikon-Root, LU, Lucerne
Gland, VD, Vaud
Glanzenberg, ZH, Zurich
Glarus, GL, Glarus
Hallwil, AG, Aargau
Hitzkirch, LU, Lucerne
Hochdorf, LU, Lucerne
Hochdorf Schönau, LU, Lucerne
Hünenberg Chämleten, ZG, Zug
Hüttlingen-Mettendorf, TG, Thurgau
Immensee, SZ, Schwyz
Interlaken West, BE, Bern
Kemptthal, ZH, Zurich
Killwangen-Spreitenbach, AG, Aargau
Klingnau, AG, Aargau
Koblenz, AG, Aargau
Kreuzlingen, TG, Thurgau
Küssnacht am Rigi, SZ, Schwyz
Lachen SZ, SZ, Schwyz
Lancy-Bachet, GE, Geneva
Lancy-Pont-Rouge, GE, Geneva
Lausanne, VD, Vaud
Lenzburg, AG, Aargau
Les Tuileries, VD, Vaud
Leuggelbach, GL, Glarus
Liestal, BL, Basel-Landschaft
Linthal, GL, Glarus
Linthal Braunwaldbahn, GL, Glarus
Luchsingen-Hätzingen, GL, Glarus
Luzern, LU, Lucerne
Luzern Verkehrshaus, LU, Lucerne
Meggen, LU, Lucerne
Meggen Zentrum, LU, Lucerne
Mellingen Heitersberg, AG, Aargau
Merlischachen, SZ, Schwyz
Meyrin, GE, Geneva
Mies, VD, Vaud
Mitlödi, GL, Glarus
Montreux, VD, Vaud
Morges, VD, Vaud
Mägenwil, AG, Aargau
Märstetten, TG, Thurgau
Netstal, GL, Glarus
Neuhausen, SH, Schaffhausen
Nidfurn-Haslen, GL, Glarus
Näfels-Mollis, GL, Glarus
Oberkirch LU, LU, Lucerne
Oberwinterthur, ZH, Zurich
Othmarsingen, AG, Aargau
Pfäffikon SZ, SZ, Schwyz
Pont-Céard, VD, Vaud
Renens VD, VD, Vaud
Reutlingen, ZH, Zurich
Rheinfelden, AG, Aargau
Rolle, VD, Vaud
Rotkreuz, ZG, Zug
Rämismühle-Zell, ZH, Zurich
Satigny, GE, Geneva
Schlieren, ZH, Zurich
Schwanden GL, GL, Glarus
Schwyz, SZ, Schwyz
Sempach-Neuenkirch, LU, Lucerne
Seon, AG, Aargau
Siebnen-Wangen, SZ, Schwyz
Siggenthal-Würenlingen, AG, Aargau
Sisikon, UR, Uri
Spiez, BE, Bern
Steinen, SZ, Schwyz
Stettbach, ZH, Zurich
Sursee, LU, Lucerne
Tannay, VD, Vaud
Thun, BE, Bern
Turbenthal, ZH, Zurich
Turgi, AG, Aargau
Versoix, GE, Geneva
Villeneuve VD, VD, Vaud
Walchwil, ZG, Zug
Walchwil Hörndli, ZG, Zug
Waldibrücke, LU, Lucerne
Weinfelden, TG, Thurgau
